"IATA","Airport Name","City Name","Country Name","Population"
"GIG","Rio de Janeiro Galeao-A.C.Jobim Int Apt","Rio de Janeiro","Brazil",5940224
"GJM","Guajara-Mirim","Guajara-Mirim","Brazil",33373
"GNM","Guanambi","Guanambi","Brazil",59310
"GNR","General Roca","General Roca","Argentina",73212
"GPB","Guarapuava","Guarapuava","Brazil",150157
"GPO","General Pico","General Pico","Argentina",57029
"GRP","Gurupi","Gurupi","Brazil",69748
"GRU","Sao Paulo Guarulhos Intl Apt","Sao Paulo","Brazil",10659386
"GUZ","Guarapari","Guarapari","Brazil",92978
"GVR","Governador Valadares","Governador Valadares","Brazil",248800
"GXQ","Coyhaique","Coyhaique","Chile","Missing[""NotAvailable""]"
"GYN","Goiania","Goiania","Brazil",1256514
"HOS","Chos Malal","Chos Malal","Argentina","Missing[""NotAvailable""]"
"HRZ","Horizontina","Horizontina","Brazil",14416
"HUW","Humaita","Humaita","Brazil",28079
"IGR","Iguazu","Iguazu","Argentina","Missing[""NotAvailable""]"
"IGU","Iguassu Falls","Iguassu Falls","Brazil","Missing[""NotAvailable""]"
"IGU","Foz do Iguacu","Foz do Iguacu","Brazil",308900
"IMP","Imperatriz","Imperatriz","Brazil",217192
"ING","Lago Argentino","Lago Argentino","Argentina","Missing[""NotAvailable""]"
"IOS","Ilheus","Ilheus","Brazil",160700
"IPC","Easter Island","Easter Island","Chile","Missing[""NotAvailable""]"
"IPG","Ipiranga","Ipiranga","Brazil",14150
"IPN","Ipatinga","Ipatinga","Brazil",236600
"IQQ","Iquique","Iquique","Chile",227499
"IRJ","La Rioja","La Rioja","Argentina",162620
"IRZ","Santa Isabel Rio Negro","Santa Isabel Rio Negro","Brazil","Missing[""NotAvailable""]"
"ITA","Itacoatiara","Itacoatiara","Brazil",55404
"ITB","Itaituba","Itaituba","Brazil",82495
"ITN","Itabuna","Itabuna","Brazil",204700
"ITP","Itaperuna","Itaperuna","Brazil",85030
"IZA","Juiz de Fora Zona da Mata","Juiz de Fora Zona da Mata","Brazil","Missing[""NotAvailable""]"
"JBS","Sao Borja","Sao Borja","Brazil",54738
"JCB","Joacaba","Joacaba","Brazil",22468
"JCR","Jacareacanga","Jacareacanga","Brazil",1402
"JDF","Juiz de Fora","Juiz de Fora","Brazil",525225
"JDF","Juiz De Fora (BR) MG","Juiz de Fora","Brazil",525225
"JDF","Juiz De Fora","Juiz de Fora","Brazil",525225
"JDO","Juazeiro do Norte","Juazeiro do Norte","Brazil",230800
"JDR","Sao Joao del Rei","Sao Joao del Rei","Brazil",76978
"JIA","Juina","Juina","Brazil",32831
"JJD","Cruz","Cruz","Brazil",8723
"JJG","Jaguaruna","Jaguaruna","Brazil",11649
"JOI","Joinville","Joinville","Brazil",470400
"JPA","Joao Pessoa","Joao Pessoa","Brazil",716042
"JPR","Ji-Parana","Ji-Parana","Brazil",94704
"JRN","Juruena","Juruena","Brazil","Missing[""NotAvailable""]"
"JSM","Jose de San Martin","Jose de San Martin","Argentina","Missing[""NotAvailable""]"
"JTC","Bauru","Bauru","Brazil",341400
"JTI","Jatai","Jatai","Brazil",75668
"JUA","Juara","Juara","Brazil",26252
"JUJ","Jujuy","Jujuy","Argentina",305891
"KNA","Vina del Mar","Vina del Mar","Chile",294551
"LAJ","Lages","Lages","Brazil",158633
"LAZ","Bom Jesus Da Lapa","Bom Jesus Da Lapa","Brazil",41705
"LBR","Labrea","Labrea","Brazil",21943
"LCB","Pontes-e-Lacerda","Pontes-e-Lacerda","Brazil",31424
"LCM","La Cumbre","La Cumbre","Argentina","Missing[""NotAvailable""]"
"LCP","Loncopue","Loncopue","Argentina","Missing[""NotAvailable""]"
"LDB","Londrina","Londrina","Brazil",482600
"LEC","Lencois","Lencois","Brazil","Missing[""NotAvailable""]"
"LGS","Malargue","Malargue","Argentina","Missing[""NotAvailable""]"
"LOB","Los Andes","Los Andes","Chile",56859
"LOI","Lontras","Lontras","Brazil","Missing[""NotAvailable""]"
"LSC","La Serena","La Serena","Chile",154521
"LSQ","Los Angeles","Los Angeles (CL)","Chile",125430
"LUQ","San Luis","San Luis","Argentina",183982
"LVB","Livramento","Livramento","Brazil",75338
"LVR","Lucas do Rio Verde","Lucas do Rio Verde","Brazil",28017
"MAB","Maraba","Maraba","Brazil",157100
"MAO","Manaus","Manaus","Brazil",1718584
"MAO","Manaus Eduardo Gomes International","Manaus","Brazil",1718584
"MBK","Matupa","Matupa","Brazil",10246
"MBZ","Maues","Maues","Brazil",24104
"MCP","Macapa","Macapa","Brazil",328865
"MCZ","Maceio","Maceio","Brazil",917086
"MDQ","Mar del Plata","Mar del Plata","Argentina",553935
"MDX","Mercedes","Mercedes","Argentina",105916
"MDZ","Mendoza","Mendoza","Argentina",111900
"MEA","Macae","Macae","Brazil",165001
"MEU","Monte Dourado","Monte Dourado","Brazil","Missing[""NotAvailable""]"
"MGF","Maringa","Maringa","Brazil",320700
"MHC","Castro","Castro","Chile",29926
"MII","Marilia","Marilia","Brazil",209700
"MJR","Miramar","Miramar","Argentina","Missing[""NotAvailable""]"
"MOC","Montes Claros","Montes Claros","Brazil",332000
"MPN","Mount Pleasant","Mount Pleasant","Falkland Islands","Missing[""NotAvailable""]"
"MPN","Mount Pleasant (FK)","Mount Pleasant (FK)","Falkland Islands","Missing[""NotAvailable""]"
"MQH","Minacu","Minacu","Brazil",26637
"MTE","Monte Alegre","Monte Alegre","Brazil",22840
"MVD","Montevideo","Montevideo","Uruguay",1269552
"MVF","Mossoro","Mossoro","Brazil",214238
"MVS","Mucuri","Mucuri","Brazil",24256
"NAT","Natal","Natal","Brazil",785722
"NCJ","Sunchales","Sunchales","Argentina","Missing[""NotAvailable""]"
"NEC","Necochea","Necochea","Argentina",80478
"NQL","Niquelandia","Niquelandia","Brazil",29342
"NQN","Neuquen","Neuquen","Argentina",242092
"NVT","Navegantes","Navegantes","Brazil",49874
"OAL","Cacoal","Cacoal","Brazil",58393
"OBI","Obidos","Obidos","Brazil",23874
"OES","San Antonio Oeste","San Antonio Oeste","Argentina","Missing[""NotAvailable""]"
"OIA","Ourilandia","Ourilandia","Brazil",8803
"OLC","Sao Paula de Olivenca","Sao Paula de Olivenca","Brazil","Missing[""NotAvailable""]"
"OLK","Fuerte Olimpo","Fuerte Olimpo","Paraguay",2475
"OPS","Sinop","Sinop","Brazil",93977
"OPS","Sinop (BR)","Sinop (BR)","Brazil",93977
"ORA","Oran","Oran (AR)","Argentina","Missing[""NotAvailable""]"
"ORX","Oriximina","Oriximina","Brazil",34189
"OVL","Ovalle","Ovalle","Chile",77138
"OVR","Olavarria","Olavarria","Argentina",86320
"OYA","Goya","Goya","Argentina",70245
"OYK","Oiapoque","Oiapoque","Brazil",10706
"OYO","Tres Arroyos","Tres Arroyos","Argentina",47136
"PAV","Paulo Afonso","Paulo Afonso","Brazil",87411
"PBX","Porto Alegre do Norte","Porto Alegre do Norte","Brazil",6461
"PCJ","Puerto la Victoria","Puerto la Victoria","Paraguay",4987
"PDP","Punta del Este","Punta del Este","Uruguay",7298
"PET","Pelotas","Pelotas","Brazil",316700
"PFB","Passo Fundo","Passo Fundo","Brazil",178200
"PGZ","Ponta Grossa","Ponta Grossa","Brazil",298600
"PHB","Parnaiba","Parnaiba","Brazil",132591
"PIL","Pilar","Pilar","Paraguay",25541
"PIN","Parintins","Parintins","Brazil",66236
"PJC","Pedro Juan Caballero","Pedro Juan Caballero","Paraguay",67428
"PLU","Belo Horizonte Pampulha Apt","Belo Horizonte","Brazil",2258096
"PMC","Puerto Montt","Puerto Montt","Chile",160054
"PMG","Ponta Pora","Ponta Pora","Brazil",56684
"PMQ","Perito Moreno","Perito Moreno","Argentina","Missing[""NotAvailable""]"
"PMW","Palmas","Palmas","Brazil",175166
"PMY","Puerto Madryn","Puerto Madryn","Argentina",64555
"PNB","Porto Nacional","Porto Nacional","Brazil",39013
"PNG","Paranagua","Paranagua","Brazil",128254
"PNT","Puerto Natales","Puerto Natales","Chile","Missing[""NotAvailable""]"
"PNZ","Petrolina","Petrolina","Brazil",204200
"POA","Porto Alegre","Porto Alegre","Brazil",1365039
"POJ","Patos de Minas","Patos de Minas","Brazil",121805
"PPB","President Prudente","President Prudente","Brazil","Missing[""NotAvailable""]"
"PPY","Pouso Alegre","Pouso Alegre","Brazil",110567
"PRA","Parana","Parana","Argentina",262295
"PRQ","President Roque Saenz Pena","President Roque Saenz Pena","Argentina","Missing[""NotAvailable""]"
"PSS","Posadas","Posadas","Argentina",312060
"PSW","Passos","Passos","Brazil",97880
"PTO","Pato Branco","Pato Branco","Brazil",61984
"PTQ","Porto de Moz","Porto de Moz","Brazil",9912
"PUD","Puerto Deseado","Puerto Deseado","Argentina","Missing[""NotAvailable""]"
"PUQ","Punta Arenas","Punta Arenas","Chile",117430
"PVH","Porto Velho","Porto Velho","Brazil",304228
"PVI","Paranavai","Paranavai","Brazil",82472
"QSC","Sao Carlos","Sao Carlos","Brazil",202400
"RAO","Ribeirao Preto","Ribeirao Preto","Brazil",547417
"RBB","Borba","Borba","Brazil",11918
"RBR","Rio Branco","Rio Branco","Brazil",269505
"RCQ","Reconquista","Reconquista","Argentina",90184
"RCU","Rio Cuarto","Rio Cuarto","Argentina",153757
"RDC","Redencao","Redencao","Brazil",65102
"RDS","Rincon de Los Sauces","Rincon de Los Sauces","Argentina","Missing[""NotAvailable""]"
"REC","Recife","Recife","Brazil",1472202
"REL","Trelew","Trelew","Argentina",99201
"RES","Resistencia","Resistencia","Argentina",387158
"REZ","Resende","Resende","Brazil",111439
"RGA","Rio Grande (AR)","Rio Grande (AR)","Argentina",61030
"RGA","Rio Grande","Rio Grande","Argentina",61030
"RGL","Rio Gallegos","Rio Gallegos","Argentina",85700
"RHD","Rio Hondo","Rio Hondo","Argentina","Missing[""NotAvailable""]"
"RHD","Termas de Rio Hondo","Termas de Rio Hondo","Argentina","Missing[""NotAvailable""]"
"RIA","Santa Maria (BR)","Santa Maria (BR)","Brazil",249400
"RIG","Rio Grande (BR)","Rio Grande (BR)","Brazil",186700
"RLO","Merlo","Merlo","Argentina","Missing[""NotAvailable""]"
"ROO","Rondonopolis","Rondonopolis","Brazil",164969
"ROS","Rosario (AR)","Rosario (AR)","Argentina",1198528
"ROS","Rosario","Rosario","Argentina",1198528
"ROY","Rio Mayo","Rio Mayo","Argentina","Missing[""NotAvailable""]"
"RRJ","Rio De Janeiro Jacarepagua","Rio de Janeiro","Brazil",5940224
"RSA","Santa Rosa (AR)","Santa Rosa","Argentina",111424
"RSA","Santa Rosa","Santa Rosa","Argentina",111424
"RSA","Santa Rosa (AR)","Santa Rosa (AR)","Argentina",111424
"RVD","Rio Verde","Rio Verde","Brazil",138625
"RVY","Rivera","Rivera","Uruguay",64426
"RYO","Rio Turbio","Rio Turbio","Argentina","Missing[""NotAvailable""]"
"RZA","Santa Cruz","Santa Cruz (AR)","Argentina","Missing[""NotAvailable""]"
"RZA","Puerto Santa Cruz","Puerto Santa Cruz","Argentina","Missing[""NotAvailable""]"
"SCL","Santiago Comodoro Arturo Merino Benitez","Santiago (CL)","Chile",5428590
"SCL","Santiago Arturo Merino Benitez","Santiago (CL)","Chile",5428590
"SCL","Santiago (CL)","Santiago (CL)","Chile",5428590
"SDE","Santiago del Estero","Santiago del Estero","Argentina",354692
"SDU","Rio de Janeiro Santos Dumont Apt","Rio de Janeiro","Brazil",5940224
"SFN","Santa Fe (AR)","Santa Fe (AR)","Argentina",468632
"SJK","Sao Jose Dos Campos","Sao Jose Dos Campos","Brazil",673255
"SJL","Sao Gabriel","Sao Gabriel","Brazil",55434
"SJL","Sao Gabriel Cachoeira","Sao Gabriel Cachoeira","Brazil","Missing[""NotAvailable""]"
"SJP","Sao Jose do Rio Preto","Sao Jose do Rio Preto","Brazil",406220
"SLA","Salta","Salta","Argentina",535303
"SLZ","Sao Luiz","Sao Luiz","Brazil",3482
"SMT","Sorriso","Sorriso","Brazil",49536
"SOD","Sorocaba","Sorocaba","Brazil",559157
"SQX","Sao Miquel do Oeste","Sao Miguel do Oeste","Brazil",29765
"SQX","Sao Miguel do Oeste","Sao Miguel do Oeste","Brazil",29765
"SQY","Sao Lourenco do Sul","Sao Lourenco do Sul","Brazil",23165
"SRA","Santa Rosa (BR)","Santa Rosa (BR)","Brazil",56156
"SSA","Salvador","Salvador","Brazil",2480790
"SST","Santa Teresita","Santa Teresita","Argentina","Missing[""NotAvailable""]"
"STM","Santarem","Santarem","Brazil",194600
"STY","Salto","Salto","Uruguay",99072
"STZ","Santa Terezinha","Santa Terezinha","Brazil","Missing[""NotAvailable""]"
"SXO","Sao Felix do Araguaia","Sao Felix do Araguaia","Brazil",7512
"SXX","Sao Felix do Xingu","Sao Felix do Xingu","Brazil",24837
"TBT","Tabatinga","Tabatinga","Brazil",28229
"TDL","Tandil","Tandil","Argentina",104325
"TEC","Telemaco Borba","Telemaco Borba","Brazil",63544
"TFF","Tefe","Tefe","Brazil",47257
"TGQ","Tangara Da Serra","Tangara Da Serra","Brazil",69482
"THE","Teresina","Teresina","Brazil",797029
"TJL","Tres Lagoas","Tres Lagoas","Brazil",81510
"TLX","Talca","Talca","Chile",197479
"TMT","Trombetas","Trombetas","Brazil","Missing[""NotAvailable""]"
"TOW","Toledo","Toledo (BR)","Brazil",98606
"TRQ","Tarauaca","Tarauaca","Brazil",16526
"TTG","Tartagal","Tartagal","Argentina",60819
"TUC","Tucuman","Tucuman","Argentina",549163
"TUR","Tucurui","Tucurui","Brazil",85426
"TUZ","Tucuma","Tucuma","Brazil",20568
"TXF","Teixeira de Freitas","Teixeira de Freitas","Brazil",110084
"TYT","Treinta Y Tres","Treinta Y Tres","Uruguay",25711
"UAQ","San Juan","San Juan (AR)","Argentina",447048
"UBA","Uberaba","Uberaba","Brazil",315360
"UDI","Uberlandia","Uberlandia","Brazil",593500
"ULA","San Julian","San Julian","Argentina","Missing[""NotAvailable""]"
"ULC","Santiago Los Cerrillos Apt","Santiago (CL)","Chile",5428590
"UMU","Umuarama","Umuarama","Brazil",88382
"UNA","Una","Una","Brazil",22613
"UNA","Ilha Comandatuba/una","Ilha Comandatuba/una","Brazil","Missing[""NotAvailable""]"
"URG","Uruguaiana","Uruguaiana","Brazil",116261
"USH","Ushuaia","Ushuaia","Argentina",58028
"UVI","Uniao da Vitoria","Uniao da Vitoria","Brazil","Missing[""NotAvailable""]"
"VAG","Varginha","Varginha","Brazil",112321
"VAL","Valenca","Valenca","Brazil",63231
"VCP","Sao Paulo Viracopos Apt","Sao Paulo","Brazil",10659386
"VCP","Sao Paulo Viracopos-Campinas Intl Apt","Sao Paulo","Brazil",10659386
"VDC","Vitoria Da Conquista","Vitoria Da Conquista","Brazil",315884
"VDM","Viedma","Viedma","Argentina",48940
"VIA","Videira","Videira","Brazil",39049
"VIX","Vitoria (BR)","Vitoria (BR)","Brazil",314042
"VLG","Villa Gesell","Villa Gesell","Argentina","Missing[""NotAvailable""]"
"VLP","Vila Rica","Vila Rica","Brazil",13407
"VLR","Vallenar","Vallenar","Chile",44895
"VME","Villa Mercedes","Villa Mercedes","Argentina",105916
"VMI","Vallemi","Vallemi","Paraguay","Missing[""NotAvailable""]"
"WCH","Chaiten","Chaiten","Chile",4173
"WPR","Porvenir","Porvenir","Chile",4792
"WPU","Puerto Williams","Puerto Williams","Chile",1952
"XAP","Chapeco","Chapeco","Brazil",151976
"YAI","Chillan","Chillan","Chile",161953
"ZAL","Valdivia","Valdivia","Chile",133419
"ZCO","Temuco","Temuco","Chile",238129
"ZMD","Sena Madureira","Sena Madureira","Brazil",21356
"ZOS","Osorno","Osorno","Chile",135773
"ZPC","Pucon","Pucon","Chile",14170
"ACR","Araracuara","Araracuara","Colombia","Missing[""NotAvailable""]"
"ADZ","San Andres Island","San Andres Island","Colombia","Missing[""NotAvailable""]"
"AGV","Acarigua","Acarigua","Venezuela",143704
"ANS","Andahuaylas","Andahuaylas","Peru",23275
"API","Apiay","Apiay","Colombia","Missing[""NotAvailable""]"
"APO","Apartado","Apartado","Colombia",122228
"AQP","Arequipa","Arequipa","Peru",978009
"ATA","Anta","Anta","Peru",6403
"ATA","Huaraz","Huaraz","Peru",100931
"AUC","Arauca","Arauca","Colombia",62634
"AXM","Armenia","Armenia","Colombia",273114
"AYP","Ayacucho","Ayacucho","Peru",161586
"AYX","Atalaya","Atalaya","Peru","Missing[""NotAvailable""]"
"BAQ","Barranquilla","Barranquilla","Colombia",1148506
"BGA","Bucaramanga","Bucaramanga","Colombia",509216
"BHA","Bahia de Caraquez","Bahia de Caraquez","Ecuador",37056
"BLA","Barcelona","Barcelona (VE)","Venezuela",424795
"BLP","Bellavista","Bellavista","Peru",15231
"BNS","Barinas","Barinas","Venezuela",284289
"BOG","Bogota","Bogota","Colombia",7674366
"BRM","Barquisimeto","Barquisimeto","Venezuela",1018900
"BSC","Bahia Solano","Bahia Solano","Colombia",4476
"BTO","Botopasie","Botopasie","Suriname","Missing[""NotAvailable""]"
"BTO","Botopasi","Botopasi","Suriname","Missing[""NotAvailable""]"
"BUN","Buenaventura","Buenaventura","Colombia",304206
"BYC","Yacuiba","Yacuiba","Bolivia",82803
"CAJ","Canaima","Canaima","Venezuela","Missing[""NotAvailable""]"
"CAQ","Caucasia","Caucasia","Colombia",73202
"CAY","Cayenne","Cayenne","French Guiana",58008
"CBB","Cochabamba","Cochabamba","Bolivia",618376
"CBL","Ciudad Bolivar","Ciudad Bolivar","Venezuela",291119
"CBS","Cabimas","Cabimas","Venezuela",200818
"CCA","Chimore","Chimore","Bolivia",5147
"CCO","Carimagua","Carimagua","Colombia","Missing[""NotAvailable""]"
"CCS","Caracas","Caracas","Venezuela",4543901
"CGU","Ciudad Guayana","Ciudad Guayana","Venezuela",789500
"CHH","Chachapoyas","Chachapoyas","Peru",21360
"CHM","Chimbote","Chimbote","Peru",313350
"CIJ","Cobija","Cobija","Bolivia",26585
"CIX","Chiclayo","Chiclayo","Peru",524442
"CJA","Cajamarca","Cajamarca","Peru",162326
"CLO","Cali","Cali","Colombia",2117038
"COG","Condoto","Condoto","Colombia",9597
"CPB","Capurgana","Capurgana","Colombia","Missing[""NotAvailable""]"
"CRC","Cartago","Cartago","Colombia",122001
"CTG","Cartagena","Cartagena","Colombia",955250
"CUC","Cucuta","Cucuta","Colombia",567664
"CUE","Cuenca","Cuenca","Ecuador",276964
"CUM","Cumana","Cumana","Venezuela",257783
"CUP","Carupano","Carupano","Venezuela",112082
"CUZ","Cuzco","Cuzco","Peru",329203
"CZE","Coro","Coro","Venezuela",195227
"CZU","Corozal (CO)","Corozal (CO)","Colombia",47701
"EBG","El Bagre","El Bagre","Colombia",40798
"EJA","Barrancabermeja","Barrancabermeja","Colombia",170810
"EOH","Medellin Enrique Olaya Herrerra Apt","Medellin","Colombia",2248912
"EOZ","Elorza","Elorza","Venezuela","Missing[""NotAvailable""]"
"ESM","Esmeraldas","Esmeraldas","Ecuador",95630
"ETR","Santa Rosa (EC)","Santa Rosa (EC)","Ecuador",41816
"EYP","El Yopal","El Yopal","Colombia",97865
"EYP","Yopal","Yopal","Colombia",97865
"FLA","Florencia","Florencia","Colombia",125382
"GDO","Guasdualito","Guasdualito","Venezuela",30860
"GEO","Georgetown (GY)","Georgetown (GY)","Guyana",235017
"GEO","Georgetown","Georgetown","Guyana",235017
"GEO","Georgetown (GY) 00","Georgetown (GY) 00","Guyana","Missing[""NotAvailable""]"
"GFO","Bartica","Bartica","Guyana",11157
"GPI","Guapi","Guapi","Colombia",16881
"GPS","Galapagos Islands","Galapagos Islands","Ecuador","Missing[""NotAvailable""]"
"GPS","Baltra Island","Baltra Island","Ecuador","Missing[""NotAvailable""]"
"GRA","Gamarra","Gamarra","Colombia",8271
"GUI","Guiria","Guiria","Venezuela","Missing[""NotAvailable""]"
"GUQ","Guanare","Guanare","Venezuela",112286
"GYA","Guayaramerin","Guayaramerin","Bolivia",36008
"GYE","Guayaquil","Guayaquil","Ecuador",2350915
"HAY","Aguachica","Aguachica","Colombia",72600
"HUU","Huanuco","Huanuco","Peru",142738
"IBB","Isabela Island","Isabela Island","Ecuador","Missing[""NotAvailable""]"
"IBE","Ibague","Ibague","Colombia",481790
"ICK","Nieuw Nickerie","Nieuw Nickerie","Suriname",13143
"IGO","Chigorodo","Chigorodo","Colombia",52664
"ILQ","Ilo","Ilo","Peru",57393
"IPI","Ipiales","Ipiales","Colombia",77565
"IQT","Iquitos","Iquitos","Peru",370962
"JAE","Jaen","Jaen","Peru",63464
"JAU","Jauja","Jauja","Peru",16424
"JJI","Juanjui","Juanjui","Peru",37715
"JUL","Juliaca","Juliaca","Peru",216716
"JUO","Jurado","Jurado","Colombia",2351
"KRG","Karasabai","Karasabai","Guyana","Missing[""NotAvailable""]"
"LCR","La Chorrera","La Chorrera","Colombia",61232
"LET","Leticia","Leticia","Colombia",23811
"LFR","La Fria","La Fria","Venezuela",27077
"LGQ","Lago Agrio","Lago Agrio","Ecuador",24211
"LGZ","Leguizamo","Leguizamo","Colombia","Missing[""NotAvailable""]"
"LIM","Lima","Lima","Peru",8472935
"LIM","Lima (PE)","Lima (PE)","Peru",8472935
"LMC","Lamacarena","Lamacarena","Colombia","Missing[""NotAvailable""]"
"LMC","La Macarena","La Macarena","Colombia",3850
"LOH","Loja","Loja","Ecuador",117796
"LPB","La Paz (BO)","La Paz (BO)","Bolivia",835361
"LPD","La Pedrera","La Pedrera","Colombia",2887
"LPE","La Primavera","La Primavera","Colombia",5606
"LQM","Puerto Leguizamo","Puerto Leguizamo","Colombia",9098
"LRV","Los Roques","Los Roques","Venezuela","Missing[""NotAvailable""]"
"LSP","Las Piedras","Las Piedras","Venezuela","Missing[""NotAvailable""]"
"LTM","Lethem","Lethem","Guyana",716
"LTX","Latacunga","Latacunga","Ecuador",51717
"MAR","Maracaibo","Maracaibo","Venezuela",1891800
"MBP","Moyobamba","Moyobamba","Peru",42690
"MCH","Machala","Machala","Ecuador",198123
"MCJ","Maicao","Maicao","Colombia",130348
"MDE","Medellin Jose Maria Cordova Intl","Medellin","Colombia",2248912
"MEC","Manta","Manta","Ecuador",183166
"MFT","Machu Picchu","Machu Picchu","Peru","Missing[""NotAvailable""]"
"MGD","Magdalena","Magdalena","Bolivia",7789
"MGN","Magangue","Magangue","Colombia",79645
"MHW","Monteagudo","Monteagudo","Bolivia",8289
"MIX","Miriti Parana","Miriti Parana","Colombia","Missing[""NotAvailable""]"
"MMP","Mompos","Mompos","Colombia",30861
"MND","Medina","Medina","Colombia",3428
"MPY","Maripasoula","Maripasoula","French Guiana",5545
"MRD","Merida (VE)","Merida (VE)","Venezuela",215259
"MTB","Montelibano","Montelibano","Colombia",51959
"MTR","Monteria","Monteria","Colombia",299715
"MUN","Maturin","Maturin","Venezuela",410972
"MVP","Mitu","Mitu","Colombia",13066
"MYC","Maracay","Maracay","Venezuela",395360
"MZA","Mazamari","Mazamari","Peru",6826
"MZL","Manizales","Manizales","Colombia",358488
"NAR","Nare","Nare","Colombia","Missing[""NotAvailable""]"
"NBB","Barrancominas","Barrancominas","Colombia","Missing[""NotAvailable""]"
"NCI","Necocli","Necocli","Colombia",11888
"NQU","Nuqui","Nuqui","Colombia",3304
"NVA","Neiva","Neiva","Colombia",295961
"NZC","Nazca","Nazca","Peru",23710
"OCC","Coca","Coca","Ecuador",20313
"OCV","Ocana","Ocana","Colombia",81752
"OGL","Ogle","Ogle","Guyana","Missing[""NotAvailable""]"
"OGL","Georgetown (GY) 00","Georgetown (GY) 00","Guyana","Missing[""NotAvailable""]"
"ORG","Paramaribo Zorg En Hoop Apt","Paramaribo","Suriname",223757
"ORU","Oruro","Oruro","Bolivia",208684
"OTU","Otu","Otu","Colombia",5953
"OYP","St Georges de L'oyapock","St Georges de L'oyapock","French Guiana","Missing[""NotAvailable""]"
"PBE","Puerto Berrio","Puerto Berrio","Colombia",34958
"PBL","Puerto Cabello","Puerto Cabello","Venezuela",163847
"PBM","Paramaribo John A Pengel Apt","Paramaribo","Suriname",223757
"PBM","Paramaribo Johan A Pengel Apt","Paramaribo","Suriname",223757
"PBM","Paramaribo Johan A Pengel Intl Apt","Paramaribo","Suriname",223757
"PCL","Pucallpa","Pucallpa","Peru",272616
"PCR","Puerto Carreno","Puerto Carreno","Colombia",10220
"PDA","Puerto Inirida","Puerto Inirida","Colombia",11314
"PEI","Pereira","Pereira","Colombia",371239
"PEM","Puerto Maldonado","Puerto Maldonado","Peru",51349
"PIO","Pisco","Pisco","Peru",54677
"PIU","Piura","Piura","Peru",361832
"PMV","Porlamar","Porlamar","Venezuela",87120
"POI","Potosi","Potosi","Bolivia",141251
"PPN","Popayan","Popayan","Colombia",230642
"PSO","Pasto","Pasto","Colombia",312377
"PSZ","Puerto Suarez","Puerto Suarez","Bolivia",12253
"PTX","Pitalito","Pitalito","Colombia",62934
"PUU","Puerto Asis","Puerto Asis","Colombia",28899
"PVA","Providencia","Providencia","Colombia",4425
"PVA","Providencia Island","Providencia Island","Colombia","Missing[""NotAvailable""]"
"PVO","Portoviejo","Portoviejo","Ecuador",170326
"PYH","Puerto Ayacucho","Puerto Ayacucho","Venezuela",52526
"PZA","Paz de Ariporo","Paz de Ariporo","Colombia",17254
"PZO","Puerto Ordaz","Puerto Ordaz","Venezuela","Missing[""NotAvailable""]"
"RAV","Cravo Norte","Cravo Norte","Colombia",4787
"RBQ","Rurrenabaque","Rurrenabaque","Bolivia",11749
"RCH","Riohacha","Riohacha","Colombia",139783
"RIB","Riberalta","Riberalta","Bolivia",74014
"RIJ","Rioja","Rioja","Peru",19815
"RIM","Rodriguez de Mendoza","Rodriguez de Mendoza","Peru","Missing[""NotAvailable""]"
"RON","Rondon","Rondon","Colombia",525
"RVE","Saravena","Saravena","Colombia",28544
"SBL","Santa Ana","Santa Ana (BO)","Bolivia",12581
"SCI","San Cristobal (VE)","San Cristobal (VE)","Venezuela",246583
"SCI","San Cristobal","San Cristobal","Venezuela",246583
"SCY","San Cristobal","San Cristobal","Ecuador",6164
"SCY","San Cristobal Island","San Cristobal Island","Ecuador","Missing[""NotAvailable""]"
"SFD","San Fernando de Apure","San Fernando de Apure","Venezuela","Missing[""NotAvailable""]"
"SFD","San Fernando Apure","San Fernando Apure","Venezuela","Missing[""NotAvailable""]"
"SFX","San Felix","San Felix","Venezuela","Missing[""NotAvailable""]"
"SJB","San Joaquin","San Joaquin","Bolivia",3557
"SJE","San Jose del Guaviare","San Jose del Guaviare","Colombia",37658
"SJH","San Juan del Cesar","San Juan del Cesar","Colombia",21513
"SJS","San Jose de Chiquitos","San Jose de Chiquitos","Bolivia",9745
"SMG","Santa Maria (PE)","Santa Maria (PE)","Peru",23053
"SMR","Santa Marta","Santa Marta","Colombia",385122
"SNC","Salinas","Salinas","Ecuador",43862
"SNC","Salinas (EC)","Salinas (EC)","Ecuador",43862
"SNF","San Felipe","San Felipe","Venezuela",76766
"SNG","San Ignacio de Velasco","San Ignacio de Velasco","Bolivia",23569
"SNV","Santa Elena","Santa Elena","Venezuela","Missing[""NotAvailable""]"
"SNV","Santa Elena de Uairen","Santa Elena de Uairen","Venezuela","Missing[""NotAvailable""]"
"SOM","San Tome","San Tome","Venezuela","Missing[""NotAvailable""]"
"SOX","Sogamoso","Sogamoso","Colombia",126551
"SQU","Saposoa","Saposoa","Peru",14894
"SRD","San Ramon","San Ramon","Bolivia",6421
"SRE","Sucre","Sucre","Bolivia",224838
"SRJ","San Borja","San Borja","Bolivia",19640
"SRZ","Santa Cruz el Trompillo Apt","Santa Cruz (BO)","Bolivia",1616063
"SRZ","Santa Cruz el Trompillo Apt","Santa Cruz","Bolivia",1616063
"SSL","Santa Rosalia","Santa Rosalia","Colombia",2047
"STB","Santa Barbara Zulia","Santa Barbara Zulia","Venezuela","Missing[""NotAvailable""]"
